Year,Month,Day,Hour,Minute,Ta,Ta_flag,Td,Td_flag,RH,Pa,Pa_flag,GHI,DNI,DHI,CS_GHI,CS_DNI,CS_DHI,WD,WD_flag,WS,WS_flag,PCW,PC_1hr,PC_6hr,Zenith
2001,1,1,1,0,6,0,-10,0,30.6,94837,0,0,0,0,0,0,0,330,0,3.1,0,0.636,999,999,165
2001,1,1,2,0,6,0,-10,0,30.6,94827,0,0,0,0,0,0,0,340,0,2.1,0,0.637,999,999,155
2001,1,1,3,0,6,0,-10,0,30.6,94837,0,0,0,0,0,0,0,330,0,3.1,0,0.64,999,999,143
2001,1,1,4,0,7,0,-10,0,28.5,94852,0,0,0,0,0,0,0,310,0,2.6,0,0.645,999,999,130.6
2001,1,1,5,0,5,0,-11,0,30.2,94793,0,0,0,0,0,0,0,330,0,1.5,0,0.652,999,999,118.3
2001,1,1,6,0,6,0,-10,0,30.6,94874,0,0,0,0,0,0,0,330,0,4.1,0,0.661,999,999,106.3
2001,1,1,7,0,6,0,-10,0,30.6,94948,0,0,0,0,0,0,0,290,0,3.1,0,0.668,999,999,94.7
2001,1,1,8,0,5,0,-10,0,32.8,94979,0,48.3,67.5,38,81.3,350.5,30.8,320,0,3.1,0,0.672,999,999,83.9
2001,1,1,9,0,7,0,-9,0,30.9,95066,0,157.3,174.3,106.5,255.5,688,65.3,340,0,3.1,0,0.667,999,999,74.2
2001,1,1,10,0,8,0,-9,0,28.8,95137,0,271.3,259.3,168.5,414.5,821.8,81.3,10,0,1.5,0,0.651,999,999,66.1
2001,1,1,11,0,10,0,-9,0,25.2,95158,0,410.3,494.3,161,529.5,898.3,85.5,340,0,1.5,0,0.624,999,999,60.4
2001,1,1,12,0,14,0,-8,0,20.9,95125,0,497,661.5,142.8,584,927.5,87.3,300,0,1.5,0,0.595,999,999,57.6
2001,1,1,13,0,18,0,-7,0,17.5,95106,0,466.3,576,163.8,573.5,931.5,83.8,0,0,0,0,0.571,999,999,58.3
2001,1,1,14,0,18,0,-7,0,17.5,95079,0,425,666.8,114.3,499.5,911.3,75.5,0,0,0,0,0.557,999,999,62.3
2001,1,1,15,0,18,0,-6,0,18.9,95069,0,351,782.8,72.8,367.5,841.5,64.8,0,0,0,0,0.552,999,999,69
2001,1,1,16,0,18,0,-7,0,17.5,95106,0,195.8,679.8,47.3,195.8,679.8,47.3,260,0,1.5,0,0.55,999,999,77.8
2001,1,1,17,0,17,0,-8,0,17.3,95121,0,38.5,266.5,16.3,38.5,266.5,16.3,0,0,0,0,0.543,999,999,88
2001,1,1,18,0,12,0,-10,0,20.4,95105,0,0,0,0,0,0,0,290,0,3.6,0,0.534,999,999,99.1
2001,1,1,19,0,11,0,-10,0,21.8,95127,0,0,0,0,0,0,0,280,0,5.2,0,0.534,999,999,110.9
2001,1,1,20,0,9,0,-10,0,24.9,95153,0,0,0,0,0,0,0,0,0,0,0,0.527,999,999,123.1
2001,1,1,21,0,8,0,-11,0,24.6,95193,0,0,0,0,0,0,0,300,0,2.1,0,0.515,999,999,135.4
2001,1,1,22,0,7,0,-11,0,26.3,95233,0,0,0,0,0,0,0,290,0,3.6,0,0.501,999,999,147.7
2001,1,1,23,0,6,0,-11,0,28.2,95189,0,0,0,0,0,0,0,360,0,2.1,0,0.49,999,999,159.2
2001,1,1,24,0,7,0,-11,0,26.3,95149,0,0,0,0,0,0,0,310,0,4.6,0,0.485,999,999,167.1
2001,1,2,1,0,9,0,-11,0,23,95180,0,0,0,0,0,0,0,290,0,3.6,0,0.491,999,999,165
2001,1,2,2,0,6,0,-11,0,28.2,95162,0,0,0,0,0,0,0,360,0,2.1,0,0.504,999,999,155
2001,1,2,3,0,9,0,-11,0,23,95255,0,0,0,0,0,0,0,280,0,6.2,0,0.52,999,999,143
2001,1,2,4,0,9,0,-11,0,23,95245,0,0,0,0,0,0,0,290,0,5.7,0,0.55,999,999,130.7
2001,1,2,5,0,10,0,-11,0,21.5,95307,0,0,0,0,0,0,0,290,0,5.7,0,0.581,999,999,118.4
2001,1,2,6,0,9,0,-11,0,23,95385,0,0,0,0,0,0,0,300,0,6.2,0,0.576,999,999,106.4
2001,1,2,7,0,11,0,-11,0,20.1,95517,0,0,0,0,0,0,0,300,0,7.7,0,0.53,999,999,94.8
2001,1,2,8,0,10,0,-11,0,21.5,95586,0,86,419.3,26.8,86,419.3,26.8,300,0,6.2,0,0.478,999,999,83.9
2001,1,2,9,0,14,0,-10,0,17.9,95748,0,267.5,772.5,54.3,267.5,772.5,54.3,330,0,4.1,0,0.451,999,999,74.2
2001,1,2,10,0,16,0,-8,0,18.4,95870,0,428.8,889.5,68,428.8,889.5,68,360,0,5.7,0,0.453,999,999,66.1
2001,1,2,11,0,17,0,-8,0,17.3,95903,0,541,936.8,77.3,541,936.8,77.3,360,0,3.6,0,0.47,999,999,60.3
2001,1,2,12,0,17,0,-7,0,18.6,95791,0,593.5,951.8,82.3,593.5,951.8,82.3,10,0,5.7,0,0.485,999,999,57.5
2001,1,2,13,0,18,0,-7,0,17.5,95740,0,580,941.5,83,580,941.5,83,20,0,5.2,0,0.492,999,999,58.2
2001,1,2,14,0,18,0,-7,0,17.5,95749,0,503,905.8,79,503,905.8,79,10,0,4.1,0,0.49,999,999,62.2
